attraction_id,name,category,description,latitude,longitude,area,opening_hours,ticket_price,avg_rating,estimated_capacity,popularity_score,indoor_outdoor,tags
DN001,Cầu Rồng,check-in,"Biểu tượng của Đà Nẵng, nổi bật vào buổi tối và cuối tuần.",16.0614,108.2278,Trung tâm sông Hàn,00:00-23:59,Miễn phí,4.7,5000,95,outdoor,cầu|ban đêm|sông Hàn|check-in
DN002,Cầu Tình Yêu,check-in,"Điểm dạo bộ ven sông, phù hợp ngắm cảnh và chụp ảnh.",16.0618,108.2292,Trung tâm sông Hàn,06:00-23:00,Miễn phí,4.5,2200,82,outdoor,ven sông|chụp ảnh|cặp đôi|check-in
DN003,Bảo tàng Điêu khắc Chăm,bảo tàng,Không gian lưu giữ bộ sưu tập điêu khắc Chăm lớn và giàu giá trị lịch sử.,16.0604,108.2237,Trung tâm sông Hàn,07:00-17:30,60.000 VNĐ,4.6,1200,76,indoor,lịch sử|nghệ thuật|văn hóa Chăm|bảo tàng
DN004,Bảo tàng Đà Nẵng,bảo tàng,Giới thiệu tiến trình hình thành và phát triển của thành phố Đà Nẵng.,16.0728,108.2202,Trung tâm sông Hàn,08:00-17:00,Miễn phí,4.4,1500,62,indoor,thành phố|lịch sử|gia đình|bảo tàng
DN005,Chợ Hàn,ẩm thực,Khu chợ truyền thống nổi tiếng với đặc sản địa phương và quà lưu niệm.,16.0671,108.2233,Khu ẩm thực địa phương,06:00-19:00,Miễn phí,4.3,3000,84,indoor,đặc sản|mua sắm|ẩm thực|chợ
DN006,Chợ Cồn,ẩm thực,Thiên đường ăn vặt địa phương với mật độ quầy hàng dày đặc.,16.0677,108.2122,Khu ẩm thực địa phương,07:00-18:30,Miễn phí,4.5,3200,88,indoor,ăn vặt|địa phương|ẩm thực|đông khách
DN007,Công viên Biển Đông,thiên nhiên,"Không gian mở sát biển, phù hợp tản bộ và quan sát chim bồ câu.",16.0678,108.2445,Sơn Trà ven biển,05:00-22:00,Miễn phí,4.6,4000,79,outdoor,công viên|biển|đi bộ|gia đình
DN008,Bán đảo Sơn Trà,thiên nhiên,Khu sinh thái rừng và biển với nhiều điểm quan sát toàn cảnh thành phố.,16.1204,108.2685,Sơn Trà ven biển,06:00-17:30,Miễn phí,4.8,3500,86,outdoor,rừng|cảnh quan|xe máy|thiên nhiên
DN009,Chùa Linh Ứng,văn hóa,Quần thể chùa linh thiêng với tượng Phật Quan Âm hướng biển.,16.0997,108.2775,Sơn Trà ven biển,06:00-21:00,Miễn phí,4.8,2800,87,outdoor,tâm linh|toàn cảnh|văn hóa|tham quan
DN010,Ngũ Hành Sơn,thiên nhiên,"Cụm núi đá vôi kết hợp hang động, chùa chiền và điểm ngắm cảnh.",16.0036,108.2645,Ngũ Hành Sơn,07:00-17:30,40.000 VNĐ,4.7,3000,83,outdoor,núi|hang động|tâm linh|thiên nhiên
